aufgeregt;rozrušený/á, nervózní/í*
die Bücherei, -en;knihovna*
in Panik sein;panikařit, být v panice*
die Angestellte;zaměstnankyně*
die Angestellten (Pl.);zaměstnanci*
sich befinden, h. sich befunden;nacházet se*
verwechseln, h. verwechselt;splést si, zaměnit*
schrecklich;strašný, strašně*
wohl;asi*
Es war wohl so...;Bylo to asi tak...*
der Anfänger, -;začátečník*
die Uni, -s (=Universität);univerzita*
das Wohnheim, -e;kolej, ubytovna, internát*$
weder... noch;ani... ani*
das Smartphone, -s;smartphone, chytrý telefon*
zufällig;náhodou, náhodně*
fragen (nach + Dat.), h. gefragt;zeptat/ptát se na*
nach dem Weg fragen;zeptat/ptát se na cestu*
die Gegend, -en;okolí*
irgendwie;nějak*
der Kreis, -e;kruh*
sich verirren, h. sich verirrt;zabloudit, ztratit se*
der Startpunkt, -e;místo startu*
so..., dass;tak..., že*
die Mitteilung, -en;sdělení*
die Tageszeitung, -en;denní tisk (noviny)*
die Teilzeitarbeit (Sg);práce na částečný úvazek*
der Damenschneider, -;dámský krejčí*
gratis;gratis, zdarma*
gründen, h. gegründet;založit*
eine Firma gründen;založit firmu*
berufstätig;zaměstnaný*
die Literatur (Sg);literatura*
der Rundgang, ¨e;procházka, obchůzka*
