accommodation;ubytování*
apartment;byt (hlavně v USA)*
attic;půda, podkroví*
balcony;balkon*
basement;sklep, suterén*
bathroom;koupelna*
bedroom;ložnice*
ceiling;strop*
central heating;ústřední topení*
chimney;komín*
cupboard;skříňka (kuchyňská)*$
detached house;samostatně stojící dům*
furniture;nábytek*
garage;garáž*
garden;zahrada*
hallway;předsíň, chodba*
kitchen;kuchyně*
landlord;pronajímatel*
neighbour;soused*
rent;najemné, pronájem*
roof;střecha*
shelf;police*
terraced house;řadový dům*
upstairs;nahoře (v patře)*
yard;dvorek (hl. v USA)*
